title,year,name,type,character,n
Die Geierwally,1956,Viktor Afritsch,actor,Jagdherr,
Die goldene Gans,1953,Viktor Afritsch,actor,Schornsteinfeger,
Die Reise nach Marrakesch,1949,Viktor Afritsch,actor,Achmed Pascha,9
Die vertagte Hochzeitsnacht,1953,Viktor Afritsch,actor,Arturo,11
Die Zwillinge vom Zillertal,1957,Viktor Afritsch,actor,Raban,11
Einmal der liebe Herrgott sein,1942,Viktor Afritsch,actor,Ludwig Rei?bach,12
Es lebe die Liebe,1944,Viktor Afritsch,actor,Balletmaster Hofer,7
Fanfaren der Liebe,1951,Viktor Afritsch,actor,Friseur,10
Frauen in Teufels Hand,1960,Viktor Afritsch,actor,Scharf?hrer des SD Wehrle,
Geheimakte W.B.1,1942,Viktor Afritsch,actor,von Klamm,
Golowin geht durch die Stadt,1940,Viktor Afritsch,actor,Kaffeehausgast,24
Grenzstation 58,1951,Viktor Afritsch,actor,Kaufmann Springer,14
Haus des Lebens,1952,Viktor Afritsch,actor,Dr. Billich,21
Heiraten verboten,1957,Viktor Afritsch,actor,Amtsbote Bartl Most,15
Kleine Residenz,1942,Viktor Afritsch,actor,Staatsminister von Neander,17
Man nennt es Liebe,1953,Viktor Afritsch,actor,"Schweiger, Portier",11
"Oh, diese lieben Verwandten",1955,Viktor Afritsch,actor,"von Tomay, Gutsnachbar",16
Orient-Express,1944,Viktor Afritsch,actor,Garwinsky,15
Robot-Girl Nr. 1,1938,Viktor Afritsch,actor,Messing - Buchhalter,5
Wo der Wildbach rauscht,1956,Viktor Afritsch,actor,Schneider Caflisch,
MBA: Married by Accident,2008,Putra Afrizalsyah,actor,Jojo,5
99 Kali Rindu,2013,Eddy Afro,actor,Jambi,
Seram sejuk,2012,Eddy Afro,actor,Alam,4
Building Girl,2005,Henry Afro-Bradley,actor,Lefty,
Kopf oder Zahl,2009,Afrob,actor,Aron,9
Leroy,2007,Afrob,actor,Blackula,18
Isinakdal ko ang aking ina,1997,Willie Afroilan,actor,Policeman,33
Loin des hommes,2014,Yassine Afroukh,actor,Rebelle,26
The Physician,2013,Yassine Afroukh,actor,Shah's Messenger #3,41
Attila Marcel,2013,Kambod Afrouz-Vahdat Kashani,actor,Play-boy plage,29
Deccani Souls,2012,Hamid Afroze,actor,Talwar,
Deccani Souls,2012,Hamid Afroze,actor,Operation Polo speaker,
Vangaveeti,2016,Afsar (V),actor,Murali Friend,
Arkadas,1974,Kerim Afsar,actor,Cemil,
Battal Gazi Destani,1971,Kerim Afsar,actor,"Leon, Bizantine Emperor",7
Leyla ile Mecnun,1972,Kerim Afsar,actor,H?k?mdar,
Mine,1982,Kerim Afsar,actor,Doctor,4
Bluffmaster!,2005,Afsaraadil,actor,Doorman at Five Star,
Osprey,2017,Syed Afser,actor,Monk,8
Sugar Baby,2011,Syed Afser,actor,Officer David,43
The Sinners,2012,Mohsen Afshani,actor,Hamed,
American Wrestler: The Wizard,2016,Ali Afshar,actor,Hafez Tabad,
Damn Foreigners,2015,Ali Afshar,actor,Dr. ALI,1
Godzilla,1998,Ali Afshar,actor,Anchorage Sailor,48
Guardian,2001,Ali Afshar,actor,Tarik,18
He's Just Not That Into You,2009,Ali Afshar,actor,Skip,56
Pray for Rain,2017,Ali Afshar,actor,The Scorpion,6
Ride,2017,Ali Afshar,actor,Scott Carroll,
Running Wild,2017,Ali Afshar,actor,Pahsa Kasra,
The Siege,1998,Ali Afshar,actor,Ali,27
The Wrong Side of Right,2016,Ali Afshar,actor,Raymond,
Three Kings,1999,Ali Afshar,actor,Iraqi First Kill Soldier,25
Schwarzkopf,2011,Ardalan Afshar,actor,Nazar,1
The Desert Fish,2013,Ayoub Afshar,actor,Abbas,
Khabar e khasi nist,2014,Bijan Afshar,actor,MR zahedi,
Puraido: Unmei no toki,1998,Daren N. Afshar,actor,Prosecution Attorney,
The Desert Fish,2013,Iman Afshar,actor,Ahmad,
Issa miayad,2000,Reza Afshar,actor,Issa,1
One Candle One Man,2013,Xerxes Afshar,actor,Xerxes,
Dame sobh,2005,Zabi Afshar,actor,Hashem,2
Asabani nistam!,2014,Bahram Afshari,actor,Real Estate Agent,
Gita,2016,Ramin Afshari,actor,Matin,4
La buena vida,1996,Farshid Afsharian,actor,Chico colegio,45
Khatte ghermez,1982,Kurosh Afsharpanah,actor,Prisoner,
Zhan lang,2015,Afshin,actor,ICP B,28
Das Milan-Protokoll,2017,Erol Afsin,actor,Jibril,
Mustang,2015,Erol Afsin,actor,Osman,10
Tschiller: Off Duty,2016,Erol Afsin,actor,Aykut,15
Range 15,2016,Brian Aft,actor,Zombie,
Sgt. Kabukiman N.Y.P.D.,1990,Rob Aft,actor,Special ADR Voices,116
Amar Raj,1946,Aftab (IV),actor,Hansa,11
Bombay Velvet,2015,Aftab (VII),actor,Abdul Kareem Sherkhan,36
3 Nights 4 Days,2009,Sameer Aftab,actor,Rocky,
Chand Sa Roshan Chehra,2005,Samir Aftab,actor,Hero,
Krantiveer: The Revolution,2010,Samir Aftab,actor,Vishal Singh Rathod,2
Musaa: The Most Wanted,2010,Samir Aftab,actor,Rohan,2
Shadow,2009,Samir Aftab,actor,Abhishek,
Sun Zarra,2006,Samir Aftab,actor,Rohit,
Cowards Bend the Knee or The Blue Hands,2003,Craig Aftanas,actor,Hockey Player,25
The Saddest Music in the World,2003,Craig Aftanas,actor,Old Sleepwalker,21
Herman: The Man Behind the Terror,2016,Calin Aftanasiu,actor,Soldier 4,
Afacerea Est,2016,Doru Aftanasiu,actor,Alexeev,
Herman: The Man Behind the Terror,2016,Doru Aftanasiu,actor,Leonid Roman,
"Hey, Happy!",2001,Craig Aftanis,actor,Happy,2
Baler,2008,Amir Aftaran,actor,Additional Soldier,59
Lavorare con lentezza,2004,Afterhours,actor,Area,
Callous,2011,Konstantinos Afthinos,actor,Investment Advisor,15
The Upturned Glass,1947,Richard Afton,actor,Lorry Driver's Mate,21
When the Man Went South,2014,Afuhia Afu,actor,Home Village Hunter,28
When the Man Went South,2014,Fihinoa Afu,actor,East Village Boy,34
When the Man Went South,2014,Fiula Afu,actor,Home Village Boy,17
Hands of Stone,2016,Hector Afu,actor,Amateur Referee,41
When the Man Went South,2014,Kamaloni Afu,actor,Gecko Lizard - Moko,13
Boy Negro,1988,Abel Afuang,actor,Boy Negro's Gang,30
The Waiter,2010,Ruao Afuenteo,actor,M Bar Patron #16,34
Heroes,2009,Michael Afuso,actor,Homeless,
That's What She Said,2012,Emmanuel Afuwape,actor,Perp,
The Rally-LA,2016,Emmanuel Afuwape,actor,Flyer Passer,39
Ugly Shoes,2016,Emmanuel Afuwape,actor,Officer Nairobi,32
Ugly Shoes,2016,Emmanuel Afuwape,actor,Cassandra,32
Dead Mine,2012,Afwan,actor,Imperial Guard,
Kattbreven,2001,Tedros Afworki,actor,G?ngmedlem vid bussh?llplatsen,
Janbaz,1987,Afzaal,actor,Supporting actor,
Let's Dance,2009,Aqib Afzaal,actor,Rehaan Jones,2
Qayamat Se Qayamat Tak,1988,Afzal,actor,Baba's Gang,29
Monica,2011,Afzal (III),actor,Policeman - Lucknow,
Finding Fatimah,2017,Abdullah Afzal,actor,Jahid,9
Elan,1947,Mohammad Afzal,actor,Sajjad Haque,
A Mighty Heart,2007,Mohammed Afzal,actor,Shabbir,4
More Than Just a Game,2007,Mohammed Afzal,actor,Supporter #2,20
Valley of Saints,2012,Mohammed Afzal,actor,Afzal,
Maya (II),2015,Zain Afzal,actor,Sam,
Strangers,2000,Elyas Afzali,actor,Caretaker,4
Along Those Lines,2015,Kasra Afzali,actor,Chandler,7
La tourneuse de pages,2006,Moussa Ag Assarid,actor,Brancardier,27
1999,2009,Lucsy Ag,actor,Geetha,
Mobster,2013,Meni Aga,actor,Jacob Hadar,1
Zeenat,1945,Munee Aga,actor,Young Akhtar,13
Helen's Last Love,2017,Shamik Aga,actor,Jeffrey,23
Eyo imya - Vesna,1969,Mukhtar Aga-Mirzayev,actor,Builder,
The Street Project,2009,Olav Agaatsz,actor,P.J.'s second hand,
Biz qayidacagiq,2007,Mirza Agabayli,actor,Zakirin babasi,5
Qazalxan,1991,Mirza Agabayli,actor,Agah?seyn,2
The Unfathomable Mr. Jones,2015,Justin Noel Agabi-Keyamo,actor,Parka's friend,
Pusher II,2004,Ilyas Agac,actor,Lille Muhammed,17
Pusher III,2005,Ilyas Agac,actor,Lille Muhammed,5
Kurtlar Vadisi: Gladio,2009,Mustafa Agaca,actor,Denizci Pasa,10
Yuxu,2001,Aqil Agacanov,actor,Mansurov,14
E.T. is Estong Tutong,1983,Boy Agacer,actor,Detective,15
E.T. is Estong Tutong,1983,Joey Agacer,actor,Detective,14
Zapis zbrodni,1974,Andrzej Agacik,actor,Milicjant,
Jim Shoe,2016,Patrick Agada,actor,Dante,
Endgame,2015,Dimitri Agado,actor,Teammate 1,
Invisible Men,2015,Theo Agadzi,actor,Jango,
Extension du domaine de la lutte,1999,Philippe Agael,actor,Henri La Brette,7
Soldatskiy dekameron,2005,Aleksandr Agafonov,actor,Shura Oskin,
Hardcore Henry,2015,Alexey Agafonov,actor,Elevator Guard #3,34
Bashnya,1987,Ivan Agafonov,actor,Ivan Filippovich,5
Chto mozhno Kuzenkovu?,1980,Ivan Agafonov,actor,"(segment ""I budem zhit"")",14
Den komandira divizii,1983,Ivan Agafonov,actor,Dokuchaev,9
Magistral,1983,Ivan Agafonov,actor,Shilov,7
Podsudimyy,1986,Ivan Agafonov,actor,Assessor,6
Stseny iz semeynoy zhizni,1980,Ivan Agafonov,actor,Andrey,5
Trizhdy o lyubvi,1981,Ivan Agafonov,actor,Anisimych,7
V zone osobogo vnimaniya,1978,Ivan Agafonov,actor,Lieutenant Colonel,
Kontributsiya,2016,Sergei Agafonov,actor,Pisar',16
Podsadnoy,2010,Sergei Agafonov,actor,Younger Andrey,23
Doktor,2012,Sergey Agafonov,actor,Director of hospital,
Kochvatz en aprelu,1960,Yevgeni Agafonov,actor,Kostya,14
Tonight Is Cancelled,2007,Edi Agagjyshi,actor,Edi,2
Septem8er Tapes,2004,Sher Agah,actor,Chief of Police,10
Monster Heroes,2010,Ryan Agahee,actor,Little Cansha,
The Pop Corn Movie,2008,Kostas Agaitsis,actor,Kostas,
Route 68 Motel,2016,Xhemi Agaj,actor,Eric,
The Hero,2014,Xhemi Agaj,actor,Doctor,3
Deadline Auto Theft,1983,J.C. Agajanian Jr.,actor,Light Blue Unmarked Detective,22
Gone in 60 Seconds,1974,J.C. Agajanian Jr.,actor,Light Blue Unmarked Detective,
Gone in 60 Seconds,1974,Christopher J.C. Agajanian,actor,Himself,
Last Flight Out,2004,Dennis Agajanian,actor,Aide,13
Road to Redemption,2001,Dennis Agajanian,actor,Biker Leader,8
The Ride,1997,Dennis Agajanian,actor,Cowhand,31
County General,2005,Mesrop Agajanyan,actor,Officer 2,25
The 9/11 Commission Report,2006,Mesrop Agajanyan,actor,Taliban Soldier,37
Lady Jane,2008,Fran?ois Agali,actor,Groupe Nacimiento,
Cuca e maleve,1974,P?llumb Agalliu,actor,Diversant,9
Il vangelo secondo Matteo,1964,Giorgio Agamben,actor,Philip,10
The Bishop's Wife,1947,'Babe' Agamenoni,actor,Ice Skater,
La Soledad,2016,Mar?a Agamez Palomino,actor,Rosina Palomino,5
Dancer in the Dark,2000,Al Agami,actor,Dancer,32
En som Hodder,2003,Al Agami,actor,William Ludo,13
Flyvende farmor,2001,Al Agami,actor,Motorcykelbetjent,17
Store planer!,2005,Al Agami,actor,Jojo,2
Day of the Woman,1978,Isaac Agami,actor,Butcher,11
Zwartboek,2006,Tomer Agami,actor,Son of Rachel Rosenthal-Steinn,57
The Game That Kills,1937,'Babe' Agaminono,actor,Hockey Player,
Basra,2008,Wagih Agamy,actor,Hamada's Father,12
Hoot,2006,Brandon Agan,actor,Student,
Dixie Times,2012,Glenn Agan,actor,Man at gas station,19
Sanglaan,2009,Suzette Agan,actor,Hospital Patient,24
Yanggaw,2008,Dick Aganan,actor,Barangay Tanod,34
The New Women,2001,Clark Aganon,actor,Coma Man,58
Batad: Sa paang palay,2006,Tutch Aganon,actor,Bading Tourist,28
The Things We've Seen,2017,Bill Agans,actor,Townsperson,34
Don Juan Tenorio,1937,Carlos Aganza,actor,Don Rafael de Avellaneda,12
Mujeres de hoy,1936,Carlos Aganza,actor,Ramoncito Beltr?n,14
Tramvay,2006,Ahmet Agaoglu,actor,Photographer,16
Hellriders,2012,Pavlos Agapakis,actor,Ogre,
Thelma,2011,Christian Agapay,actor,"Teammate, Nueva Era",153
No Leaf Clover,2010,Geneses Agape,actor,Jim,14
Herman: The Man Behind the Terror,2016,Robert Agape,actor,Pupil 4,
Calatoria lui Gruber,2008,Viorel Cristian Agapie,actor,Production Designer,
Concerto,2008,Jason Agapin,actor,Davao evacuee,66
Concerto,2008,Justin Agapin,actor,Davao evacuee,63
Improvising,2013,Mano Agapion,actor,Melvin,
Layang bilanggo,2010,Victorino Agapito,actor,Tanod 2,23
O kalyteros mou filos,2001,Marios Agapitos,actor,Waiter,
Ne valyay duraka,1997,Sergei Agapitov,actor,Pasha,3
Po Taganke khodyat tanki,1991,Sergei Agapitov,actor,Chirik,5
Ot semi do dvenadtsati,1965,Igor Agapkin,actor,Dimka,4
Tragic Theater,2015,Lionel Agapon,actor,Spirit in Theater,119
Brodyagi severa,1983,Aleksandr Agapov,actor,McDonnell,4
Bolshaya rzhaka,2012,Ivan Agapov,actor,Muzhchina bez shtanov,24
Daun Haus,2001,Ivan Agapov,actor,Lebedev,17
DMB,2000,Ivan Agapov,actor,Uncle Vitya,20
Sezon chudes,1985,Ivan Agapov,actor,Aleksei,9
White Gold,2003,Ivan Agapov,actor,Cop,10
Shagal - Malevich,2014,Stepan Agapov,actor,Chagall's Student,21
Tumors,2011,Vasily Agapov,actor,Zombie #5,20
Zombie Infection,2011,Vasily Agapov,actor,Vasya,6
Zombie Infection,2011,Vasily Agapov,actor,Zombie,6
Chto s toboy proiskhodit,1975,Wassja Agapow,actor,Lobov,7
Forgiven,2006,Cooper Agar,actor,Jake Miles,
Strike Me Lucky,1936,Dan Agar,actor,Maj. Burnett,7
The Myth of the American Sleepover,2010,Danny Agar,actor,Tom Higgins,20
The Taint,2011,Giancarlo Agar,actor,Machete Misogynist,
Any Body... Any Way,1968,Ivan Agar,actor,Handyman,4
La Contradicta,2017,Ivan Agar,actor,Father,
Shriek of the Mutilated,1974,Ivan Agar,actor,Laughing Crow,9
Adventure in Baltimore,1949,John Agar,actor,Tom Wade,3
Along the Great Divide,1951,John Agar,actor,Billy Shear,3
Attack of the Puppet People,1958,John Agar,actor,Bob Westley,1
Bait,1954,John Agar,actor,Ray Brighton,3
Big Jake,1971,John Agar,actor,Bert Ryan,12
Breakthrough,1950,John Agar,actor,Lt. Joe Mallory,2
Chisum,1970,John Agar,actor,Amos Patton,13
Daughter of Dr. Jekyll,1957,John Agar,actor,George Hastings,1
Fall Girl,1961,John Agar,actor,Joe McElroy,1
Fear,1990,John Agar,actor,Leonard Scott Levy,10
Flesh and the Spur,1956,John Agar,actor,Luke Random,1
Flesh and the Spur,1956,John Agar,actor,Matt Random,1
Fort Apache,1948,John Agar,actor,2nd Lt. Michael Shannon O'Rourke,21
Frontier Gun,1958,John Agar,actor,Sheriff Jim Crayle,1
Hand of Death,1962,John Agar,actor,Alex Marsh,1
Hold Back Tomorrow,1955,John Agar,actor,Joe Cardos,1
How's Your Love Life?,1971,John Agar,actor,Police Lt. Rafferty,1
Invisible Invaders,1959,John Agar,actor,Maj. Bruce Jay,1
Jet Attack,1958,John Agar,actor,Capt. Tom Arnett,1
Joe Butterfly,1957,John Agar,actor,Sgt. Dick Mason,6
Johnny Reno,1966,John Agar,actor,Ed Tomkins,4
Journey to the Seventh Planet,1962,John Agar,actor,Capt. Don Graham,1
King Kong,1976,John Agar,actor,City Official,14
Law of the Lawless,1964,John Agar,actor,Pete Stone,7
Man of Conflict,1953,John Agar,actor,Ray Compton,2
Miracle Mile,1988,John Agar,actor,Ivan Peters,3
Mr. No Legs,1979,John Agar,actor,Police Capt. Hathaway,5
Night Fright,1967,John Agar,actor,Sheriff Clint Crawford,1
Nightbreed,1990,John Agar,actor,Decker's Victim,42
Of Love and Desire,1963,John Agar,actor,Gus Cole,4
Perfect Victims,1988,John Agar,actor,Neighbor walking his dog,11
Raymie,1960,John Agar,actor,Ike,3
Revenge of the Creature,1955,John Agar,actor,Prof. Clete Ferguson,1
Ride a Violent Mile,1957,John Agar,actor,Jeff Donner,1
Sands of Iwo Jima,1949,John Agar,actor,Pfc. Peter Conway,2
She Wore a Yellow Ribbon,1949,John Agar,actor,Lt. Flint Cohill,3
Shield for Murder,1954,John Agar,actor,Detective. Sgt. Mark Brewster,3
Stage to Thunder Rock,1964,John Agar,actor,Dan Carrouthers,6
Star in the Dust,1956,John Agar,actor,Sheriff Bill Jorden,1
Tarantula,1955,John Agar,actor,Dr. Matt Hastings,1
The Brain from Planet Arous,1957,John Agar,actor,Steve March,1
The Day of the Trumpet,1958,John Agar,actor,Sgt. Judd Norcutt,1
The Golden Mistress,1954,John Agar,actor,Bill Buchanan,1
The Lonesome Trail,1955,John Agar,actor,Johnny Rush,2
The Magic Carpet,1951,John Agar,actor,Abdullah al Husan,2
The Magic Carpet,1951,John Agar,actor,Dr. Ramoth,2
The Magic Carpet,1951,John Agar,actor,The Scarlet Falcon,2
The Mole People,1956,John Agar,actor,Dr. Roger Bentley,1
The Naked Monster,2005,John Agar,actor,Dr. Clete Ferguson,7
The Rocket Man,1954,John Agar,actor,Tom Baxter,4
The St. Valentine's Day Massacre,1967,John Agar,actor,Dion O'Bannion,17
The Undefeated,1969,John Agar,actor,Christian,18
The Victors,1963,John Agar,actor,Himself,
The Woman on Pier 13,1949,John Agar,actor,Don Lowry,3
The Young and the Brave,1963,John Agar,actor,Intelligence Captain,5
Waco,1966,John Agar,actor,George Gates,7
Woman of the North Country,1952,John Agar,actor,David Powell,3
Women of the Prehistoric Planet,1966,John Agar,actor,Dr. Farrell,3
Young Fury,1964,John Agar,actor,Dawson,6
Time of Her Life,2005,Paul Agar,actor,Gary,9
The Watchers,2013,Trevor Agar,actor,Jared,
Standing Firm,2016,Bryan Agard,actor,Charles,
The Circle Jerk,2019,Ian Agard,actor,Jimi,
Zena,2015,Ian Agard,actor,R.M Pitt,9
Hit for Six,2007,Victor Agard,actor,Cricket Umpire 1,
Hideous!,1997,Alexandru Agarici,actor,Dougie,9
Kuichisan,2012,Kohsuke Agarie,actor,12 dragoon kids,10
Kuichisan,2012,Yasutaka Agarie,actor,12 dragoon kids,6
Bayaning 3rd World,2000,Keno Agaro,actor,Rizal at 7,15
Mga munting tinig,2002,Keno Agaro,actor,Adong,12
The Guru,1969,Agarwal,actor,Doctor,20
Yathartham,2016,Aayush Agarwal,actor,Varun (Young),8
3D Saamri,1985,Anirudh Agarwal,actor,"Dharmesh Saxena ""Saamri""",9
Bandh Darwaza,1990,Anirudh Agarwal,actor,Nevla,6
Bandit Queen,1994,Anirudh Agarwal,actor,Babu Gujjar,
Journey Bombay to Goa: Laughter Unlimited,2007,Anirudh Agarwal,actor,Junglee,
Mallika,2010,Anirudh Agarwal,actor,Samri,
Purana Mandir,1984,Anirudh Agarwal,actor,Samri,5
The Jungle Book,1994,Anirudh Agarwal,actor,Tabaqui,9
Vritant,2016,Archita Agarwal,actor,Archita Agarwal,
Ranbanka,2015,Avya Agarwal,actor,Ayush,5
Life of Pi,2012,Chirag Agarwal,actor,Bully,26
Sleather,2010,David Agarwal,actor,Return Customer,
Masaan,2015,Deepak Agarwal,actor,Father at Coaching Centre,45
Trishna,2011,Dr. Agarwal,actor,Doctor,31
Bollywood Diaries,2016,Gautam Agarwal,actor,Film Director,
Masaan,2015,Harsh Agarwal,actor,Son at Coaching Centre,46
Chhodab Na Sang Tohaar,2009,Hemant Agarwal,actor,Raja,
Rise of the Zombie,2013,Jai Agarwal,actor,Boy at hotel,17
Chal Chalein,2009,Lalit Agarwal,actor,Secretary 2,
Sventa Karve,2014,Mohit Agarwal,actor,Vasu,
Teri Kasam,1982,Mukul Agarwal,actor,Guest Appearance,18
Niloye Jokhon,2012,Payal Agarwal,actor,Tina (Taniya),
Chamatkar,1992,Prakash Agarwal,actor,Godown Keeper,36
Saathiya,2002,Prakash Agarwal,actor,Doctor,44
Tum Milo Toh Sahi,2010,Prakash Agarwal,actor,Railway TC,
Septem8er Tapes,2004,Rahul Agarwal,actor,Checkpoint Thief,25
JANIVA Marathi film,2015,Sanket Agarwal,actor,Lead's friend,
Outsourced,2006,Saurabh Agarwal,actor,Kumar,18
Slumdog Millionaire,2008,Saurabh Agarwal,actor,Call Centre Manager,86
Bronx Paradise,2010,Shalin Agarwal,actor,Deli Worker,
Homeland,2008,Shalin Agarwal,actor,Ghazi,4
Face of Evil,2016,Shobhit Agarwal,actor,Store Clerk,10
In a World...,2013,Shobhit Agarwal,actor,Sloppy Indian,31
Resident Butch,2009,Shobhit Agarwal,actor,Economics Teacher,
What Maisie Knew,2012,Shobhit Agarwal,actor,NY Locksmith,25
Schatten der Zeit,2004,Sikandar Agarwal,actor,Young Ravi,6
Tera Kya Hoga Johnny,2009,Sikandar Agarwal,actor,Johnny,
Paheli,2005,Somesh Agarwal,actor,Mangilal,
Turning 30!!!,2011,Somesh Agarwal,actor,Astrologer,
"You, Your Brain, & You",2015,Subhah (II) Agarwal,actor,#61,
Baabarr,2009,Vedhant Agarwal,actor,STF,76
Showbiz,2007,Vishal Agarwala,actor,News Reporter,
1st Bite,2006,Mohan Agashe,actor,Guru,5
Aakrosh,1980,Mohan Agashe,actor,Bhonsle,8
Ab Tak Chhappan,2004,Mohan Agashe,actor,Ex-Commissioner Pradhan,4
Ab Tak Chhappan 2,2015,Mohan Agashe,actor,Retired Police Commissioner Pradhan,
Agni Varsha,2002,Mohan Agashe,actor,Raibhya,8
Agnidivya,2009,Mohan Agashe,actor,Dadu Bhat,
Akalpith,2014,Mohan Agashe,actor,Justice Gore,
Aks,2001,Mohan Agashe,actor,Prime Minister,
Angrakshak,1995,Mohan Agashe,actor,Khare,
Apaharan,2005,Mohan Agashe,actor,Professor Raghuvansh Shastri,5
Asambhav,2004,Mohan Agashe,actor,"Indian President, Veer Pratap Singh",7
Astu - So Be It,2013,Mohan Agashe,actor,Appa - Dr.Chakrapani Shastri,
Bharatiya,2012,Mohan Agashe,actor,Sirpanch Sirdeshmukh,
Bye Bye Blues,1989,Mohan Agashe,actor,Rug Merchant,7
Dance Like a Man,2004,Mohan Agashe,actor,Amritlal Parekh,5
Deool,2011,Mohan Agashe,actor,Aamdar Saheb,
Devrai,2004,Mohan Agashe,actor,Psychologist,7
Dil Aashna Hai (...The Heart Knows),1992,Mohan Agashe,actor,Prem (pimp),18
Dr. Prakash Baba Amte: The Real Hero,2014,Mohan Agashe,actor,Baba Amte,
Ek Hota Vidushak,1992,Mohan Agashe,actor,Himmatrao Inamdar,
Gaja Gamini,2000,Mohan Agashe,actor,Kalidasa,8
Gandhi,1982,Mohan Agashe,actor,Tyeb Mohammed's Friend,56
Gangaajal,2003,Mohan Agashe,actor,DIG Verma,10
Ghashiram Kotwal,1976,Mohan Agashe,actor,Nanasaheb,
Gola Berij,2012,Mohan Agashe,actor,Chitale Master,
Gudia,1997,Mohan Agashe,actor,Braganza,4
Hu Tu Tu,1999,Mohan Agashe,actor,Sawantrao Gadre,6
Jait Re Jait,1977,Mohan Agashe,actor,Nagya,1
James,2005,Mohan Agashe,actor,DCP Vijay Singh Rawat,
Jolly LLB,2013,Mohan Agashe,actor,Head of Dewan Family,7
Kala Dhanda Goray Log,1986,Mohan Agashe,actor,Custom Office Sudarshan Kumar,11
Kay Dyache Bola,2005,Mohan Agashe,actor,Judge,
Lost and Found (X),2016,Mohan Agashe,actor,Shrirang Kaka,
Maha Yatra,1987,Mohan Agashe,actor,Ved Maharaj,
Mahesh Dattani's Hasmukh Saab ki Wasihat,2015,Mohan Agashe,actor,Hasmukh Mehta,
Mashaal,1984,Mohan Agashe,actor,Keshav,
Mississippi Masala,1991,Mohan Agashe,actor,Kanti Napkin,9
Mohan Rakesh's Adhe Adhure,2014,Mohan Agashe,actor,Singhania,1
Mohan Rakesh's Adhe Adhure,2014,Mohan Agashe,actor,Juneja,1
Mohan Rakesh's Adhe Adhure,2014,Mohan Agashe,actor,Mahendranath,1
Musafir,1986,Mohan Agashe,actor,P A Pillai,
Nishant,1975,Mohan Agashe,actor,Prasad,7
Paap,2003,Mohan Agashe,actor,Kaya's Father,3
Paar,1984,Mohan Agashe,actor,Hari Singh,5
Rang De Basanti,2006,Mohan Agashe,actor,Defence Minister Shashtri,
Rita,2009,Mohan Agashe,actor,Shanks,
Samna,1975,Mohan Agashe,actor,Maruti Kamble,
Seducing Maarya,2000,Mohan Agashe,actor,Vijay Chatterjee,5
Simhasan,1979,Mohan Agashe,actor,Budhajirao,
Susman,1987,Mohan Agashe,actor,President of Handloom Cooperative Society,5
Target,1995,Mohan Agashe,actor,Vindhyachal Singh,
The Bright Day,2015,Mohan Agashe,actor,Old Man,
The Death Sentence: Mrityu Dand,1997,Mohan Agashe,actor,Abhay Singh,6
The Perfect Murder,1988,Mohan Agashe,actor,A.C.P. Samant,10
The Sea Wolves,1980,Mohan Agashe,actor,Brothel Keeper,38
Train to Pakistan,1998,Mohan Agashe,actor,Hukum Chand,1
Trimurti,1995,Mohan Agashe,actor,Khokha Singh,
Valu,2008,Mohan Agashe,actor,Sarapanch,
Vihir,2009,Mohan Agashe,actor,Ajoba,
Welcome Zindagi,2015,Mohan Agashe,actor,Colonel Vagaskar,
Zor: Never Underestimate the Force,1998,Mohan Agashe,actor,Sawmi Satyanand,7
Samyy luchshiy film 3-DE,2011,Vyacheslav Agashkin,actor,Zhurnalist,75
Dick Little,2012,Ariel Agasi,actor,Dancer #1,54
Ha-Mangalistim,2003,Ya'acov Agasi,actor,Old Eliyahu,
Dariko,1936,I. Agasov,actor,Chef of district,10
Kokey,1997,Fogel Agasser,actor,Soldier,56
Ang TV Movie: The Adarna Adventure,1996,Carlos Agassi,actor,Party Guest,45
Dekada '70,2002,Carlos Agassi,actor,Gani,5
Enteng Kabisote 4: Okay ka fairy ko... The beginning of the legend,2007,Carlos Agassi,actor,Nardong Yakitiyak,
Every Breath You Take,2012,Carlos Agassi,actor,Ace,6
Moron 5 and the Crying Lady,2012,Carlos Agassi,actor,Bully,26
Moron 5.2: The Transformation,2014,Carlos Agassi,actor,Abdul Ador Remi,33
Muling ibalik ang tamis ng pag-ibig,1998,Carlos Agassi,actor,Raul,8
My Amnesia Girl,2010,Carlos Agassi,actor,Ken,3
Mystrio (Uno... dos... tres pilyos!),1998,Carlos Agassi,actor,Caloy,3
Oh My Ghost!,2006,Carlos Agassi,actor,Jeff,4
Pinay Pie,2003,Carlos Agassi,actor,SPO Pablito,6
Praybeyt Benjamin,2011,Carlos Agassi,actor,Bully 1,10
Tar-San,1999,Carlos Agassi,actor,Scottie,7
Just the 3 of Us,2016,Michael Agassi,actor,Dexter,18
Maria Leonora Teresa,2014,Michael Agassi,actor,NBI Agent,37
Sinterklaas en het gevaar in de vallei,2003,Bram Agaston,actor,Principe Piet,
Birigyaru,2015,Morio Agata,actor,Cram-school's president,
Body Drop Asphalt,2000,Morio Agata,actor,Wakamatsu,
Burai heiya,1995,Morio Agata,actor,Conductor,
Hito no sekkusu o warauna,2007,Morio Agata,actor,Inokuma,5
Kamihate shouten,2012,Morio Agata,actor,Driver,3
Shiawase no pan,2012,Morio Agata,actor,Abe,
Shitsurakuen,1997,Morio Agata,actor,Yokoyama,8
Sukeban gerira,1972,Morio Agata,actor,"Himself , The Singer",35
Tugumi,1990,Morio Agata,actor,Maria's father,7
